Date,Close/Last,Volume,Open,High,Low
01/23/2020,354.4228,--,350.959,354.7214,348.0919
01/22/2020,352.3315,--,356.3432,357.6365,350.9031
01/21/2020,353.3651,--,350.5966,354.1994,349.5205
01/17/2020,350.4142,--,349.5237,350.7947,348.6553
01/16/2020,348.6906,--,347.0601,349.0251,345.774
01/15/2020,346.5994,--,346.6346,348.8027,345.4902
01/14/2020,347.804,--,346.4739,350.2409,343.4135
01/13/2020,344.7283,--,338.616,345.2288,338.616
01/10/2020,335.2622,--,336.6888,337.4664,334.5229
01/09/2020,336.1239,--,338.1773,338.638,333.9179
01/08/2020,336.2872,--,332.5837,337.6918,332.0959
01/07/2020,333.0719,--,331.3556,334.3893,330.5628
01/06/2020,330.1516,--,327.1139,330.2337,326.4961
01/03/2020,329.748,--,326.8619,331.1068,326.6056
01/02/2020,330.2998,--,327.961,330.3033,325.1767
12/31/2019,324.9099,--,321.9418,326.1376,321.909
12/30/2019,323.5155,--,324.6273,326.6484,320.5142
12/27/2019,323.7758,--,326.9406,326.979,323.1925
